ID_ISSUE;ID_USUARIO_COMENTARIO;DATA_REGISTRO
1179952051;55858104;24/03/2022
1175366700;8604205;21/03/2022
1158435035;55858104;03/03/2022
1145669166;1758366;21/02/2022
1145669166;23275040;21/02/2022
1145669166;1758366;21/02/2022
1145669166;23275040;21/02/2022
1119987113;3506071;10/02/2022
1119987113;838736;10/03/2022
1094521651;76740397;05/01/2022
1094521651;78961713;09/01/2022
1090877900;1521486;30/12/2021
1090877900;8604205;24/01/2022
1090520418;8604205;06/01/2022
1072369253;8604205;09/12/2021
1012960237;55858104;01/10/2021
993061771;8604205;10/09/2021
989423316;1758366;06/09/2021
989423316;85134569;06/09/2021
989423316;85134569;06/09/2021
988224726;8604205;04/09/2021
988224726;85681801;05/09/2021
988224726;8604205;06/09/2021
975911732;8604205;24/08/2021
974161877;55858104;19/08/2021
959451639;49699333;31/08/2021
956259952;55858104;29/07/2021
956259952;88050045;29/07/2021
919546106;49699333;12/06/2021
919546093;49699333;12/06/2021
919424266;49699333;12/06/2021
915519974;3506071;08/06/2021
915519974;3506071;08/06/2021
915519055;3506071;08/06/2021
915518278;3506071;08/06/2021
912443940;3506071;05/06/2021
912443940;3506071;05/06/2021
912443940;3506071;06/06/2021
912443940;3506071;06/06/2021
912443940;3506071;18/11/2021
912432763;3506071;05/06/2021
912343368;3506071;05/06/2021
911203655;78358604;04/06/2021
911203655;78358604;04/06/2021
911203655;8604205;04/06/2021
911173515;78358604;04/06/2021
911173515;78358604;04/06/2021
894149970;1153097;04/10/2021
889420602;49699333;05/06/2021
889225273;8604205;05/06/2021
889225273;49699333;07/06/2021
887561585;8604205;05/06/2021
887561585;49699333;05/06/2021
887561585;49699333;07/06/2021
885007739;8604205;11/05/2021
884966795;74995062;10/05/2021
884966795;8604205;11/05/2021
883446680;49699333;05/06/2021
880811277;49699333;05/06/2021
878754043;49699333;05/06/2021
862703541;22633385;21/04/2021
853254493;8604205;08/04/2021
844732460;49699333;31/03/2021
825194055;49699333;09/03/2021
821755332;3506071;07/04/2021
820160703;26175;02/03/2021
820160703;8604205;03/03/2021
820160703;8604205;23/03/2021
820160703;26175;25/03/2021
820160703;3506071;03/04/2021
820160703;3506071;03/04/2021
820160703;1544111;12/04/2021
820160703;1758366;12/04/2021
820160703;3506071;07/06/2021
820160703;216296;29/07/2021
802659982;49699333;06/02/2021
802659976;49699333;06/02/2021
802483980;3506071;02/03/2021
802146520;8604205;05/02/2021
802146520;772192;11/02/2021
802033497;8604205;05/02/2021
802033497;15655;05/02/2021
801899872;1242952;05/02/2021
801899872;8604205;05/02/2021
794943617;15655;27/01/2021
781291193;64190512;19/03/2021
779585968;55858104;05/01/2021
779585968;8604205;06/01/2021
774884034;3506071;07/04/2021
774884034;8604205;07/04/2021
761885061;49699333;06/02/2021
757779048;48112560;05/12/2020
753412794;8604205;30/11/2020
729531585;8604205;26/10/2020
725348029;6369589;16/02/2021
725348029;3506071;07/04/2021
720377610;1758366;13/10/2020
719949404;8604205;13/10/2020
718822742;1758366;13/10/2020
718211548;8604205;10/10/2020
718211548;20567197;13/10/2020
716686636;55858104;07/10/2020
716686636;16708391;07/10/2020
716686636;8604205;10/10/2020
714746846;8604205;05/10/2020
714734182;5384588;05/10/2020
714734182;8604205;05/10/2020
714734182;56343352;05/10/2020
714734182;8604205;05/10/2020
713319092;5384588;02/10/2020
713319092;10864441;02/10/2020
712872528;5384588;01/10/2020
712872528;10864441;01/10/2020
712664989;5384588;01/10/2020
712664989;25745900;01/10/2020
712664989;5384588;01/10/2020
712664989;10864441;01/10/2020
712419046;5384588;01/10/2020
712419046;10864441;01/10/2020
712288606;5384588;30/09/2020
712210752;8604205;30/09/2020
712082966;5384588;30/09/2020
712082966;3506071;30/09/2020
712082966;10864441;01/10/2020
707533583;10864441;28/09/2020
707533583;15655;28/09/2020
707533583;10864441;29/09/2020
707533583;15655;30/09/2020
700396947;15655;30/09/2020
700396947;8604205;30/09/2020
700396947;49699333;30/09/2020
700396663;15655;30/09/2020
700396663;8604205;30/09/2020
700396663;49699333;30/09/2020
700343654;15655;30/09/2020
700343654;8604205;30/09/2020
700343654;49699333;30/09/2020
695429991;15655;30/09/2020
695429991;8604205;30/09/2020
695429991;49699333;30/09/2020
688026458;5384588;28/08/2020
688026458;43973132;30/08/2020
688026458;5384588;30/08/2020
688026458;43973132;30/08/2020
688026458;3506071;30/09/2020
683560111;8604205;21/08/2020
682987369;5384588;20/08/2020
682987369;69984916;20/08/2020
682987369;8604205;20/08/2020
675384298;3506071;08/08/2020
675384298;3506071;30/09/2020
675384298;3506071;30/09/2020
675384298;8604205;30/09/2020
675384298;3506071;30/09/2020
675384298;8604205;30/09/2020
671882743;18679302;03/08/2020
671882743;18679302;03/08/2020
671882743;8604205;03/08/2020
671668036;12045773;11/08/2020
671668036;3506071;11/08/2020
671668036;12045773;11/08/2020
668759847;49699333;30/07/2020
666837742;8604205;28/07/2020
666837742;15655;11/08/2020
666837742;3506071;11/08/2020
666837742;25517620;19/08/2020
666837742;15655;19/08/2020
666837742;8604205;23/08/2020
666827665;5384588;28/07/2020
666827665;17544636;28/07/2020
666827665;5384588;28/07/2020
666827665;17544636;28/07/2020
666827665;3506071;28/07/2020
666827665;12045773;28/07/2020
666827665;12045773;28/07/2020
666827665;17544636;28/07/2020
666827665;8604205;28/07/2020
666827665;17544636;28/07/2020
666827665;12045773;29/07/2020
666827665;8604205;30/07/2020
666827665;17544636;30/07/2020
666827665;12045773;30/07/2020
666827665;12045773;30/07/2020
666827665;8604205;30/07/2020
666827665;8604205;03/08/2020
666827665;12045773;04/08/2020
666827665;17544636;06/08/2020
658014245;5384588;16/07/2020
658014245;8604205;16/07/2020
658014245;5384588;16/07/2020
650856910;8604205;04/07/2020
647136710;15655;30/06/2020
647136710;15655;30/06/2020
646951615;8604205;29/06/2020
638728024;15655;15/06/2020
638728024;15655;15/06/2020
638728024;64889341;15/06/2020
638728024;64889341;15/06/2020
638728024;216296;16/06/2020
638728024;64889341;16/06/2020
635064680;5384588;09/06/2020
