;USUARIO;COMENTARIOS;ISSUES;COMMITS;DESEMPENHO;QUARTIL COMENTARIO;QUARTIL ISSUE;QUARTIL COMMITS
1499;216296;0.5855471220746363;1.0;1.0;1.5306421633320733;4;4;4
186;15655;1.0;0.7752525252525253;0.5945757997218358;1.3980475169053725;4;4;4
4762;1153097;0.911606578115117;0.9747474747474748;0.3650904033379694;1.3836365835720061;4;4;4
10525;8604205;0.8009171410499684;0.787878787878788;0.2997218358831711;1.1627787537284044;4;4;4
6950;2294695;0.8548387096774194;0.6515151515151516;0.13630041724617523;1.0834200551763142;4;4;4
745;93018;0.2703984819734345;0.7575757575757577;0.25938803894297635;0.8451736639689525;4;4;4
874;111951;0.11132194813409235;0.4696969696969697;0.5076495132127955;0.7005111332049433;4;4;4
445;46647;0.08412397216951296;0.5227272727272728;0.25382475660639775;0.5871521535452005;4;4;4
2241;391394;0.3162555344718533;0.42424242424242425;0.08970792767732962;0.5366998322147378;4;4;4
4263;973550;0.4269449715370019;0.148989898989899;0.03337969401947149;0.4534249692006222;4;4;4
9209;5384588;0.4199873497786211;0.0;0.0;0.4199873497786211;4;1;1
8856;4871841;0.4043327008222644;0.0;0.0;0.4043327008222644;4;1;1
135;10137;0.04490828589500316;0.39141414141414144;0.0;0.39398195928366675;4;4;1
2580;474988;0.3055028462998102;0.17171717171717174;0.13351877607788595;0.37502805191767563;4;4;4
6176;1758366;0.11179633143580013;0.33333333333333337;0.09666203059805285;0.3646273152041044;4;4;4
723;89246;0.09851359898798229;0.33080808080808083;0.08970792767732962;0.3566320622177032;4;4;4
6188;1764161;0.08080328905755851;0.2297979797979798;0.048678720445062586;0.2484067246793465;4;4;4
3363;690815;0.10768500948766603;0.19191919191919193;0.06954102920723226;0.2307920974350627;4;4;4
6051;1703387;0.04538266919671095;0.2095959595959596;0.015299026425591097;0.21499793755275923;4;4;4
2535;463703;0.08776091081593929;0.1767676767676768;0.045201668984700974;0.20246476210957695;4;4;4
754;94334;0.027988614800759013;0.19191919191919193;0.03129346314325452;0.19645767895625543;4;4;4
374;37704;0.018500948766603416;0.16414141414141414;0.036161335187760775;0.16909267016689192;4;4;4
6706;2081709;0.020398481973434534;0.15151515151515152;0.039638386648122394;0.15793714224825617;4;4;4
2324;415779;0.006166982922201139;0.1287878787878788;0.013908205841446452;0.12968341293616595;4;4;4
2628;486104;0.012966476913345983;0.11111111111111112;0.0;0.11186513547969275;4;4;1
3439;711926;0.005218216318785579;0.11111111111111112;0.0006954102920723226;0.11123575139931244;4;4;4
5075;1271410;0.009487666034155597;0.0984848484848485;0.020166898470097356;0.10097517012494928;4;4;4
2524;461084;0.01407337128399747;0.09595959595959597;0.0;0.09698610125180902;4;4;1
5231;1331190;0.04000632511068944;0.08080808080808081;0.03477051460361613;0.09664078154975662;4;4;4
11767;49699333;0.004427577482605946;0.09090909090909091;0.012517385257301807;0.09187356086470988;4;4;4
3329;682097;0.004901960784313725;0.09090909090909091;0.011126564673157162;0.09171855030948893;4;4;4
594;67395;0.015338393421884883;0.0883838383838384;0.003477051460361613;0.08977226234802703;4;4;4
9668;6197215;0.01122707147375079;0.08333333333333334;0.008344923504867872;0.08449928595333366;4;4;4
4348;1006291;0.012808349146110056;0.08333333333333334;0.0;0.0843119105007893;4;4;1
5612;1500684;0.0196078431372549;0.07828282828282829;0.006954102920723226;0.08100017446824412;4;4;4
6789;2146903;0.04933586337760911;0.06060606060606061;0.012517385257301807;0.0791442160304802;4;4;4
4370;1016365;0.007590132827324478;0.07575757575757576;0.012517385257301807;0.07715896146709711;4;4;4
4115;923677;0.006957621758380772;0.07323232323232323;0.009735744089012517;0.07420354694691424;4;4;4
4274;976608;0.022928526249209363;0.06818181818181819;0.007649513212795549;0.07233942700168373;4;4;4
4962;1235362;0.002055660974067046;0.07070707070707072;0.007649513212795549;0.07114935447639519;4;4;4
106;7208;0.009487666034155597;0.06818181818181819;0.008344923504867872;0.06934272770562375;4;4;4
6897;2244675;0.003795066413662239;0.06818181818181819;0.0;0.06828735504954501;4;4;1
1213;163352;0.002688172043010753;0.06818181818181819;0.0;0.0682347902430376;4;4;1
3130;628508;0.014864010120177103;0.06313131313131314;0.014603616133518776;0.0664813289481476;4;4;4
8112;3695164;0.014705882352941176;0.06060606060606061;0.0;0.0623647140453962;4;4;1
8137;3735902;0.006325110689437065;0.06060606060606061;0.01321279554937413;0.06235125959953563;4;4;4
